epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,5267.3,1.29705,1.55169,1.53782,0.60411,0.70898,0.61535,0.34055,1.37503,1.37362,1.90024,0.0006636,0.0006636,0.0006636
120,5310.58,1.38239,1.67721,1.54598,0.52797,0.58227,0.58901,0.31686,1.45138,1.36137,1.95545,0.0006438,0.0006438,0.0006438
121,5353.77,1.37892,1.69367,1.56961,0.68018,0.6637,0.71654,0.35528,1.46829,1.28421,1.9471,0.000624,0.000624,0.000624
122,5396.71,1.32372,1.6403,1.51166,0.59524,0.68056,0.73339,0.37346,1.35078,1.27053,1.86514,0.0006042,0.0006042,0.0006042
123,5440.73,1.35687,1.69378,1.56149,0.64372,0.84028,0.69059,0.37031,1.33994,1.34186,1.86365,0.0005844,0.0005844,0.0005844
124,5483.49,1.32407,1.68455,1.53396,0.68012,0.86806,0.67888,0.3755,1.31857,1.21484,1.83251,0.0005646,0.0005646,0.0005646
125,5526.48,1.28935,1.60645,1.4455,0.67148,0.82242,0.73874,0.3778,1.34219,1.28746,1.85341,0.0005448,0.0005448,0.0005448
126,5570.11,1.24679,1.56244,1.46087,0.73449,0.77778,0.7076,0.39913,1.34703,1.29682,1.84573,0.000525,0.000525,0.000525
127,5614,1.23787,1.4359,1.49326,0.69479,0.73321,0.65895,0.37816,1.35532,1.34946,1.86599,0.0005052,0.0005052,0.0005052
128,5657.2,1.2739,1.53312,1.51555,0.70708,0.73087,0.74633,0.37487,1.37989,1.27988,1.85639,0.0004854,0.0004854,0.0004854
129,5700.29,1.37557,1.64855,1.56627,0.72874,0.77083,0.75443,0.39013,1.35813,1.35121,1.84342,0.0004656,0.0004656,0.0004656
130,5743.26,1.28085,1.55898,1.50809,0.757,0.63351,0.75031,0.40011,1.35219,1.54658,1.87091,0.0004458,0.0004458,0.0004458
131,5787.38,1.3101,1.59055,1.52861,0.72066,0.75807,0.80835,0.44823,1.25518,1.22211,1.79238,0.000426,0.000426,0.000426
132,5831.68,1.28755,1.565,1.54294,0.79981,0.77162,0.81188,0.45967,1.254,1.22921,1.79954,0.0004062,0.0004062,0.0004062
133,5875.5,1.30903,1.59235,1.52187,0.66841,0.73055,0.7445,0.41682,1.3064,1.25461,1.82852,0.0003864,0.0003864,0.0003864
134,5918.65,1.23633,1.51397,1.45841,0.78222,0.6541,0.7377,0.38606,1.36721,1.30379,1.84149,0.0003666,0.0003666,0.0003666
135,5961.92,1.29203,1.49844,1.52209,0.78463,0.68668,0.7198,0.37861,1.32388,1.27485,1.824,0.0003468,0.0003468,0.0003468
136,6006.57,1.34898,1.61741,1.58972,0.67782,0.75694,0.68154,0.38385,1.31007,1.23284,1.83832,0.000327,0.000327,0.000327
137,6050.08,1.21815,1.53767,1.42536,0.65507,0.73611,0.70348,0.37595,1.35922,1.41672,1.86517,0.0003072,0.0003072,0.0003072
138,6095,1.27617,1.46301,1.50457,0.65103,0.79167,0.66974,0.39304,1.32322,1.21237,1.82885,0.0002874,0.0002874,0.0002874
139,6137.91,1.22795,1.53118,1.47379,0.71075,0.71474,0.75881,0.41751,1.3245,1.21311,1.82523,0.0002676,0.0002676,0.0002676
140,6180.26,1.24141,1.39215,1.43728,0.72229,0.76389,0.79956,0.43689,1.28671,1.21699,1.81181,0.0002478,0.0002478,0.0002478
141,6230.41,1.42675,1.54252,1.74215,0.74806,0.68705,0.75074,0.43663,1.24316,1.20546,1.79194,0.000228,0.000228,0.000228
142,6272.47,1.40085,1.59425,1.77665,0.80067,0.75,0.82355,0.47518,1.22515,1.20329,1.77556,0.0002082,0.0002082,0.0002082
143,6316.39,1.40598,1.57655,1.81044,0.66749,0.76234,0.75997,0.44411,1.32234,1.28775,1.80805,0.0001884,0.0001884,0.0001884
144,6358.9,1.38335,1.47494,1.74114,0.66152,0.80556,0.79441,0.47656,1.26124,1.16522,1.77632,0.0001686,0.0001686,0.0001686
145,6401.32,1.39181,1.41,1.75472,0.59897,0.81944,0.71324,0.44802,1.24565,1.19248,1.78336,0.0001488,0.0001488,0.0001488
146,6443.83,1.37286,1.40068,1.7262,0.58387,0.75,0.6194,0.38719,1.29691,1.3531,1.80731,0.000129,0.000129,0.000129
147,6486.43,1.425,1.46896,1.78097,0.6545,0.66423,0.62658,0.3787,1.30131,1.33517,1.79879,0.0001092,0.0001092,0.0001092
148,6529.05,1.38305,1.43388,1.75491,0.76314,0.75,0.79313,0.4163,1.28118,1.23921,1.79863,8.94e-05,8.94e-05,8.94e-05
149,6570.95,1.3762,1.42912,1.71543,0.72444,0.81049,0.80734,0.44291,1.25646,1.178,1.77428,6.96e-05,6.96e-05,6.96e-05
150,6612.74,1.33509,1.36058,1.70317,0.75235,0.83333,0.83302,0.46205,1.2432,1.14123,1.77118,4.98e-05,4.98e-05,4.98e-05
